	PIF_178	PIF_087	PIF_090	NETL_005_V1	PIF_115	PIF_110	NETL_019_V1	NETCR_014_V1	NETCR_014_V2	PIF_154	NETL_022_V1	NETL_022_V2	NETL_008_V1	PIF_146	PIF_119	PIF_099	PIF_162	PIF_160	PIF_113	PIF_143	NETCR_007_V1	NETCR_007_V2	PIF_137	PIF_100	NETL_004_V1	PIF_094	PIF_132	PIF_163	NETCR_003_V1	NETL_028_V1	NETL_028_V2	NETCR_013_V1	NETL_020_V1	NETL_020_V2	PIF_192	NETCR_012_V1	NETCR_012_V2	PIF_089	NETCR_002_V1	PIF_179	PIF_114	NETCR_006_V1	PIF_141	NETCR_025_V1	NETCR_025_V2	NETCR_016_V1	PIF_116	PIF_191	PIF_164	NETL_013_V1	PIF_188	PIF_195	NETCR_015_V1	PIF_102	NETL_010_V1	NETL_010_V2	NETL_001_V1	NETCR_015_V2	NETCR_005_V1	PIF_111	PIF_171	NETCR_008_V1	NETCR_008_V2	NETL_017_V1	NETL_017_V2	NETL_002_V1	NETL_002_V2	PIF_190	NETCR_009_V1	NETCR_009_V2	NETL_007_V1	PIF_112	NETCR_019_V2	NETL_012_V1	NETL_012_V2	NETL_003_V1	NETL_003_V2
N.N.Dimethylglycine	23.34	87.36	24.53	40.04	46.06	24.29	42.1	8.17	11.7	33.78	39.25	30.88	27.66	7.24	4.57	3.42	14.73	26.84	44.7	28.79	52.46	114.43	49.4	5.42	29.96	34.81	120.3	40.45	0.79	73.7	21.98	24.05	21.98	31.5	15.64	19.89	61.56	55.7	48.42	6.11	44.26	8.17	22.87	54.05	69.41	19.69	4.57	11.7	52.46	3.1	1.93	6.62	21.33	17.12	3.16	3.19	20.29	31.19	42.52	13.46	11.59	1.23	3.46	6.89	1.62	4.57	6.23	24.05	42.95	8.67	11.59	7.03	23.34	10.28	9.21	3.63	3.49
O.Acetylcarnitine	52.98	50.4	5.58	254.68	45.6	13.46	9.68	2.41	2.41	157.59	40.04	7.17	9.58	7.32	4.76	3.6	33.45	14.44	6.96	12.68	16.95	14.15	42.95	1.55	15.33	19.89	46.06	33.78	1.57	25.03	9.3	8.94	29.37	40.04	14.15	2.41	11.82	7.24	20.91	4.57	11.47	10.91	32.14	18.54	10.38	15.64	1.65	1.93	13.74	4.53	3.06	1.77	29.96	43.82	1.95	2.08	1.97	16.44	17.99	16.12	23.57	2.53	10.07	21.54	3.71	11.59	17.29	23.81	3.86	1.6	3.94	1.23	12.06	1.84	7.24	10.59	6.11
Pantothenate	25.79	186.79	145.47	42.52	74.44	35.52	22.65	3.63	11.02	19.89	126.47	49.4	90.92	20.09	2.86	2.61	7.17	11.13	14.73	137	27.39	23.34	24.29	2.59	12.3	17.29	36.97	27.39	32.46	41.26	13.46	31.19	10.07	24.05	57.97	6.49	21.33	29.96	17.99	13.6	26.84	98.49	20.09	55.7	87.36	30.57	56.83	10.8	692.29	13.74	6.82	24.53	27.66	223.63	9.21	4.48	174.16	24.53	29.08	7.32	19.3	9.49	46.06	11.25	3.1	27.11	71.52	4.06	41.68	6.05	9.49	3.74	20.49	14.44	11.82	15.03	15.8
Pyroglutamate	437.03	437.03	713.37	566.8	184.93	432.68	183.09	30.88	84.77	399.41	162.39	419.89	327.01	239.85	42.95	37.71	252.14	301.87	343.78	278.66	149.9	290.03	379.93	44.7	109.95	162.39	788.4	343.78	46.06	340.36	76.71	270.43	99.48	142.59	244.69	50.91	198.34	502.7	138.38	68.72	343.78	1064.22	59.74	244.69	365.04	249.64	51.94	54.05	298.87	39.65	71.52	82.27	156.02	169.02	35.87	25.28	73.7	135.64	157.59	85.63	441.42	21.33	179.47	65.37	26.31	127.74	314.19	160.77	247.15	40.04	44.7	28.79	152.93	76.71	68.72	97.51	99.48
Pyruvate	21.12	36.97	29.37	64.07	12.3	32.79	16.61	2.41	7.46	20.91	26.05	52.46	45.15	4.62	4.01	4.85	5.64	18.17	2.92	35.52	26.05	48.42	23.57	9.21	21.54	4.57	58.56	27.94	2.41	56.26	18.73	21.33	6.23	13.46	3.94	19.11	62.8	33.78	41.68	3.82	15.03	48.91	7.46	25.28	184.93	32.46	1.8	0.9	22.65	6.69	1.28	2.23	15.96	8.08	2.89	6.11	9.49	29.08	30.88	1.77	17.29	1.62	7.1	10.38	6.75	4.35	59.15	4.44	66.69	4.81	6.3	5.93	15.49	5.93	12.06	4.14	6.55
Quinolinate	165.67	72.97	192.48	86.49	38.09	112.17	46.53	14.15	38.09	151.41	39.25	196.37	177.68	56.26	16.12	24.53	62.8	79.84	90.02	74.44	53.52	85.63	127.74	17.81	83.93	61.56	54.05	102.51	20.09	107.77	57.4	75.94	37.34	75.94	56.83	46.06	131.63	259.82	55.15	34.47	98.49	119.1	50.91	102.51	139.77	106.7	38.09	21.54	164.02	12.55	51.42	21.98	32.14	101.49	10.8	7.32	54.05	40.04	43.38	83.93	87.36	9.39	47.47	25.28	22.2	46.99	49.9	25.53	51.42	5.21	12.18	13.33	46.53	27.94	22.42	15.33	26.58
Serine	284.29	391.51	295.89	1248.88	206.44	387.61	275.89	48.42	47.94	706.27	160.77	292.95	219.2	151.41	33.12	32.46	217.02	225.88	142.59	407.48	114.43	407.48	115.58	38.86	132.95	141.17	391.51	441.42	25.28	278.66	138.38	290.03	64.72	129.02	186.79	114.43	225.88	159.17	237.46	104.58	198.34	692.29	130.32	323.76	323.76	333.62	38.09	70.11	225.88	49.4	32.46	127.74	270.43	122.73	30.88	16.12	126.47	270.43	198.34	39.25	160.77	46.53	217.02	84.77	33.45	105.64	383.75	51.94	219.2	57.97	90.92	42.1	177.68	127.74	120.3	83.1	84.77
Succinate	154.47	244.69	142.59	144.03	68.72	33.45	21.33	5.31	18.54	121.51	74.44	26.31	40.45	44.7	15.96	6.69	13.74	117.92	81.45	51.42	28.22	82.27	57.97	48.91	16.95	65.37	589.93	97.51	16.61	34.47	7.39	75.94	27.39	41.68	45.15	6.05	18.17	208.51	6.36	51.94	164.02	204.38	20.49	135.64	204.38	44.26	14.88	19.49	221.41	5.99	1.9	30.88	24.78	88.23	5.47	3.03	43.82	25.79	16.95	59.74	5.31	3.19	34.12	8.5	1.72	66.69	50.91	3.03	104.58	5.1	8.58	15.03	20.91	7.24	4.57	3.9	4.22
Sucrose	45.15	459.44	160.77	111.05	75.19	336.97	25.79	22.2	162.39	196.37	24.53	2079.74	53.52	56.83	10.49	24.29	175.91	95.58	72.24	502.7	64.72	42.1	528.48	70.11	21.98	75.94	71.52	28.22	16.95	55.7	56.26	116.75	23.1	40.85	336.97	14.59	58.56	281.46	94.63	94.63	17.12	108.85	21.33	29.08	36.97	42.95	10.18	30.57	41.68	14.88	43.82	29.96	19.3	601.85	18.36	9.21	19.49	16.78	17.46	55.15	254.68	17.99	10.91	17.29	17.64	36.97	109.95	11.94	39.65	83.93	17.12	25.03	12.06	13.46	6.49	34.12	39.65
Tartrate	97.51	32.79	16.28	837.15	4.53	24.05	175.91	2.44	8.67	9.58	55.7	13.07	11.94	127.74	4.39	3.67	5.37	14.73	5.7	85.63	27.11	26.84	20.49	8.33	18.92	12.81	196.37	23.34	14.15	24.78	6.55	17.81	5.93	16.28	25.79	12.81	26.05	10.28	8.58	14.88	16.78	90.92	5.87	15.96	17.64	14.88	3.03	10.91	47.94	9.12	2.2	8.41	12.94	96.54	3.9	3.39	8.94	40.45	10.7	3.53	10.91	3.9	11.82	7.39	33.78	11.25	16.61	6.89	20.29	4.71	4.9	10.8	273.14	6.69	6.49	141.17	30.57
Taurine	1919.85	1261.43	4272.69	1525.38	468.72	2059.05	387.61	73.7	247.15	812.41	221.41	544.57	57.4	544.57	108.85	126.47	91.84	219.2	301.87	1495.18	1187.97	1164.45	79.84	212.72	518.01	290.03	323.76	1737.15	24.29	428.38	123.97	82.27	555.57	336.97	55.15	64.72	99.48	880.07	665.14	97.51	79.04	1790.05	713.37	239.85	1224.15	972.63	132.95	114.43	1510.2	17.81	28.22	85.63	492.75	228.15	208.51	175.91	1064.22	254.68	544.57	64.72	247.15	27.94	137	428.38	127.74	671.83	1211.97	66.02	347.23	63.43	259.82	32.79	645.48	41.68	154.47	249.64	113.3
Threonine	184.93	198.34	109.95	376.15	64.07	105.64	135.64	19.49	60.34	450.34	99.48	170.72	70.11	58.56	20.7	26.84	8.25	68.72	106.7	141.17	91.84	98.49	188.67	8.94	81.45	68.03	295.89	267.74	10.18	137	48.91	81.45	31.82	46.06	45.6	47.94	127.74	275.89	144.03	64.07	162.39	198.34	62.8	145.47	179.47	148.41	22.2	39.65	119.1	30.57	12.18	23.57	156.02	123.97	9.12	10.07	64.72	157.59	129.02	44.7	62.18	12.06	39.25	26.31	10.59	52.46	117.92	17.64	249.64	20.09	38.09	18.54	49.4	40.85	17.46	60.34	32.46
Trigonelline	943.88	208.51	192.48	992.27	86.49	862.64	188.67	17.81	62.8	478.19	79.04	225.88	507.76	131.63	40.45	62.18	10.28	320.54	330.3	80.64	196.37	387.61	1096.63	83.1	21.54	149.9	2252.96	880.07	24.78	1352.89	459.44	53.52	49.9	83.1	278.66	116.75	340.36	1754.61	38.09	154.47	387.61	170.72	383.75	89.12	186.79	46.53	41.26	22.65	566.8	70.11	51.94	17.12	93.69	343.78	10.07	26.84	92.76	106.7	38.09	415.72	450.34	33.12	141.17	80.64	59.15	12.55	62.18	114.43	376.15	134.29	67.36	30.88	58.56	74.44	40.45	174.16	154.47
Trimethylamine.N.oxide	2121.76	639.06	1152.86	1450.99	172.43	880.07	614	190.57	403.43	411.58	626.41	295.89	584.06	897.85	90.92	66.69	1465.57	1900.74	343.78	658.52	671.83	1571.84	1107.65	152.93	175.91	372.41	1326.1	323.76	148.41	502.7	175.91	812.41	424.11	403.43	135.64	219.2	735.1	699.24	301.87	284.29	5486.25	5377.61	151.41	482.99	290.03	1096.63	159.17	55.7	482.99	167.34	125.21	139.77	186.79	982.4	383.75	92.76	196.37	107.77	273.14	134.29	620.17	101.49	1540.71	336.97	478.19	437.03	972.63	340.36	1118.79	72.97	130.32	82.27	202.35	307.97	943.88	242.26	403.43
Tryptophan	259.82	83.1	82.27	235.1	103.54	239.85	100.48	23.34	15.8	82.27	90.92	82.27	96.54	71.52	11.25	9.87	169.02	46.99	115.58	56.83	82.27	98.49	162.39	15.49	79.04	107.77	83.1	96.54	8.67	76.71	31.19	42.95	36.6	44.26	24.29	34.12	103.54	66.02	64.07	51.94	132.95	28.5	64.72	40.04	105.64	164.02	24.05	13.2	120.3	20.09	20.91	12.3	111.05	31.82	10.91	10.49	74.44	107.77	37.34	35.87	27.94	13.46	33.12	19.3	14.44	56.26	97.51	24.05	184.93	17.99	17.81	14.3	46.06	21.33	14.88	17.46	27.66
Tyrosine	290.03	167.34	60.34	323.76	142.59	127.74	97.51	35.16	54.6	137	29.08	90.92	111.05	62.8	14.01	15.8	144.03	86.49	87.36	49.9	61.56	83.93	102.51	21.54	53.52	162.39	539.15	159.17	11.59	98.49	15.03	62.8	26.58	68.03	15.18	33.45	113.3	120.3	98.49	73.7	217.02	42.95	85.63	39.65	92.76	181.27	27.39	34.12	156.02	14.15	11.47	19.89	179.47	56.83	7.85	4.22	64.72	126.47	34.81	48.91	129.02	5.58	24.05	23.57	9.78	58.56	135.64	84.77	139.77	13.74	20.7	21.12	45.15	21.33	15.18	29.96	23.57
Uracil	111.05	46.99	31.5	30.57	44.26	29.67	27.66	4.31	24.53	23.34	58.56	108.85	53.52	18.92	4.22	5.7	25.79	28.79	8.5	38.47	62.8	72.24	12.94	9.03	12.81	11.94	179.47	14.44	6.36	19.89	7.61	17.12	13.6	29.67	11.94	20.09	29.67	29.37	42.1	10.49	29.37	55.15	35.52	107.77	120.3	39.65	36.6	9.68	27.39	14.01	9.58	3.1	56.26	135.64	7.24	7.24	36.23	57.4	58.56	15.8	22.42	14.59	55.15	20.29	5.81	23.1	51.94	5.26	138.38	9.58	28.22	5.87	62.18	31.19	39.65	13.46	9.58
Valine	86.49	109.95	59.15	102.51	160.77	36.97	39.25	9.97	20.09	38.09	31.82	52.98	50.4	34.47	4.35	8.41	15.03	53.52	24.29	40.04	42.95	46.99	75.94	10.59	33.12	38.47	120.3	90.92	5.42	56.26	14.59	35.87	17.46	33.45	9.68	19.11	52.98	42.95	33.12	52.98	36.23	75.19	26.84	52.46	60.34	66.02	13.6	7.32	47.94	7.61	10.49	7.85	34.47	35.87	9.21	6.3	29.96	37.71	30.88	18.17	25.28	4.1	17.12	10.59	5.75	25.53	56.83	9.3	53.52	5.93	12.18	8.5	33.45	13.2	13.74	14.59	10.59
Xylose	72.24	192.48	2164.62	125.21	186.79	89.12	91.84	29.67	33.12	95.58	59.15	60.34	129.02	154.47	40.85	16.61	38.09	79.84	27.66	112.17	42.95	54.05	64.72	36.97	24.29	54.6	70.11	70.11	19.3	194.42	45.15	47.47	36.97	68.03	20.49	20.49	51.42	107.77	75.94	111.05	79.84	454.86	40.85	87.36	113.3	111.05	174.16	39.25	96.54	26.58	32.79	10.07	55.7	31.82	29.96	21.54	50.4	259.82	45.6	27.94	75.94	19.49	46.53	13.07	38.86	49.9	407.48	42.52	58.56	11.82	26.05	21.33	62.8	14.3	21.76	36.97	19.89
cis.Aconitate	237.46	333.62	330.3	1863.11	101.49	287.15	129.02	32.14	79.84	179.47	232.76	270.43	450.34	79.04	21.54	15.03	160.77	232.76	159.17	252.14	262.43	445.86	287.15	16.61	29.96	242.26	1236.45	254.68	15.03	459.44	87.36	395.44	41.68	101.49	51.94	103.54	347.23	254.68	179.47	65.37	202.35	340.36	97.51	482.99	953.37	539.15	31.82	21.98	221.41	26.58	12.94	83.1	156.02	175.91	18.54	18.54	54.05	183.09	242.26	23.1	27.39	28.22	160.77	73.7	22.2	157.59	270.43	65.37	298.87	19.3	34.47	25.79	103.54	36.23	40.85	90.92	58.56
myo.Inositol	135.64	376.15	86.49	247.15	749.95	129.02	32.14	12.55	58.56	64.72	154.47	41.68	84.77	117.92	23.1	21.98	160.77	72.97	83.1	179.47	206.44	267.74	174.16	114.43	561.16	70.11	230.44	79.84	13.87	139.77	51.42	78.26	632.7	854.06	60.34	14.3	138.38	175.91	53.52	257.24	102.51	137	60.34	314.19	275.89	626.41	23.34	44.7	314.19	14.73	21.98	16.28	54.6	167.34	15.8	11.59	135.64	100.48	30.27	41.68	181.27	20.29	29.67	26.58	23.57	36.23	129.02	31.19	177.68	12.81	48.42	30.57	78.26	11.59	30.88	17.64	24.29
trans.Aconitate	51.94	217.02	58.56	75.94	98.49	121.51	24.78	8.25	27.39	117.92	24.53	24.53	70.81	64.07	46.06	7.92	30.88	103.54	77.48	62.18	14.3	38.86	74.44	19.89	11.7	26.84	93.69	44.26	6.69	68.03	8.25	37.71	15.64	28.79	50.91	6.96	48.42	90.92	17.81	17.64	57.4	50.4	17.81	20.49	44.7	59.74	8.17	9.68	96.54	7.77	19.49	7.85	30.27	181.27	7.39	11.36	15.03	21.76	29.37	12.43	81.45	4.9	20.49	13.6	21.12	30.27	56.26	11.02	30.57	35.52	6.55	7.85	18.17	12.3	8.5	12.43	13.07
pi.Methylhistidine	157.59	307.97	145.47	249.64	84.77	399.41	232.76	55.15	169.02	88.23	146.94	1074.92	242.26	699.24	20.91	175.91	862.64	196.37	275.89	79.84	2697.28	671.83	84.77	49.4	16.61	275.89	1248.88	2670.44	18.36	368.71	265.07	267.74	347.23	160.77	135.64	162.39	1844.57	89.12	210.61	141.17	60.95	249.64	1236.45	387.61	399.41	1002.25	25.28	73.7	572.49	63.43	54.05	15.64	934.49	307.97	32.14	30.27	126.47	259.82	1187.97	46.53	72.97	67.36	67.36	200.34	72.24	32.46	403.43	98.49	943.88	11.36	62.18	25.53	871.31	53.52	90.02	897.85	83.93
tau.Methylhistidine	160.77	130.32	83.93	254.68	79.84	68.72	21.98	17.29	101.49	81.45	47.94	95.58	60.95	159.17	8	36.6	75.94	43.82	41.26	78.26	151.41	172.43	55.15	18.73	64.72	170.72	130.32	265.07	15.18	119.1	84.77	287.15	46.06	26.31	36.6	62.18	317.35	62.8	137	28.22	127.74	76.71	210.61	239.85	249.64	144.03	18.54	12.55	125.21	16.44	11.13	8.58	156.02	170.72	18.54	16.78	20.09	113.3	184.93	26.31	100.48	16.12	79.84	55.7	15.96	71.52	287.15	52.46	48.42	9.03	29.67	17.46	84.77	44.7	28.22	90.02	27.39
